HH-pol,HV-pol,SM1 (%),Crop Name,label
-10.83231,-19.34392,12.2,Fallow,Medium
-12.4923,-17.70054,3.6,Fallow,Low
-13.35141,-18.0166,3.5,Fallow,Low
-12.41044,-19.67101,5.0,Fallow,Low
-11.44702,-19.2646,4.1,Fallow,Low
-11.85436,-17.14774,2.0,Fallow,Low
-9.85575,-18.12351,3.3,Fallow,Low
-8.82562,-17.03471,26.5,Fallow,High
-12.17636,-19.5592,3.56666666666667,Fallow,Low
-8.50558,-15.9439,3.5,Fallow,Low
-9.61547,-16.58741,9.7,Perl Millet,Low
-8.48319,-14.92623,8.1,Perl Millet,Low
-9.25361,-16.75519,4.2,Fallow,Low
-7.76838,-15.93639,9.8,Perl Millet,Low
-10.4109,-17.86766,2.3,Fallow,Low
-11.28137,-19.2223,3.8,Fallow,Low
-14.32589,-18.3308,5.8,Fallow,Low
-12.17004,-15.89186,3.4,Fallow,Low
-10.30995,-18.01309,3.73333333333333,Fallow,Low
-10.97115,-19.15121,5.8,Fallow,Low
-10.79507,-18.25691,5.9,Fallow,Low
-10.51529,-17.58019,4.9,Fallow,Low
-11.15279,-18.58536,8.9,Fallow,Low
-12.51155,-16.91809,4.1,Maize,Low
-9.56054,-14.20705,5.0,Fallow,Low
-9.97564,-17.33197,21.7,Fallow,Medium
-12.70208,-21.24128,6.0,Fallow,Low
-8.70931,-15.94359,5.7,Fallow,Low
-8.82938,-20.02662,4.93333333333333,Fallow,Low
-12.36847,-17.67123,6.6,Fallow,Low
-9.98334,-20.29229,4.5,Fallow,Low
-11.12333,-22.18016,4.9,Fallow,Low
-10.66911,-18.22038,6.5,Fallow,Low
-11.66468,-20.84065,6.7,Fallow,Low
-11.27748,-18.23177,1.3,Fallow,Low
-9.71333,-14.93049,1.5,Fallow,Low
-12.87783,-17.31876,5.5,Fallow,Low
-11.93946,-16.6588,6.6,Fallow,Low
-11.75839,-16.83139,4.73333333333333,Fallow,Low
-10.72236,-17.07624,6.7,Fallow,Low
-8.76442,-20.7882,5.1,Fallow,Low
-12.13231,-19.25582,4.5,Fallow,Low
-9.63208,-18.72573,12.3,Fallow,Medium
-8.37543,-19.00868,5.46666666666667,Fallow,Low
-10.17586,-19.2662,5.8,Fallow,Low
-12.2818,-18.61947,24.8,Fallow,High
-9.11226,-17.7916,10.7,Fallow,Medium
-10.8465,-17.73043,5.0,Fallow,Low
-8.68175,-17.82693,5.9,Fallow,Low
-13.66941,-17.14915,31.9,Fallow,High
-15.03101,-20.1679,5.4,Fallow,Low
-13.244,-19.5706,4.7,Fallow,Low
-11.22909,-17.73561,1.9,Fallow,Low
-15.27264,-18.05136,2.13333333333333,Fallow,Low
-8.04853,-17.97629,23.3,Fallow,Medium
-10.66532,-15.91695,7.1,Fallow,Low
-10.26165,-19.33342,5.2,Fallow,Low
-9.21452,-15.38738,5.7,Fallow,Low
-10.16959,-19.17929,5.16666666666667,Fallow,Low
-11.8137,-18.54244,5.5,Fallow,Low
-11.95471,-20.28526,3.6,Fallow,Low
-9.54902,-17.59835,6.2,Fallow,Low
-11.22326,-18.5828,7.3,Fallow,Low
-11.10386,-17.03619,7.33333333333333,Fallow,Low
-8.5308,-15.03628,45.5,Paddy,Very High
-11.34406,-15.7179,50.0,Paddy,Very High
-9.4332,-21.29746,50.0,Paddy,Very High
-12.2483,-17.42746,30.7,Lemon,High
-10.26339,-17.23349,50.0,Paddy,Very High
-9.16349,-17.78382,50.0,Paddy,Very High
-8.15553,-17.89625,50.0,Paddy,Very High
-4.34219,-19.40525,50.0,Paddy,Very High
-6.3311,-18.77193,50.0,Paddy,Very High
-7.96304,-18.63305,50.0,Paddy,Very High
-5.82978,-13.20335,50.0,Paddy,Very High
-9.47855,-18.2966,50.0,Paddy,Very High
-11.74358,-19.7147,50.0,Paddy,Very High
-9.98594,-13.46176,50.0,Paddy,Very High
-9.51948,-13.80209,50.0,Paddy,Very High
-11.09481,-21.20652,50.0,Fallow,Very High
-4.99003,-17.23485,50.0,Fallow,Very High
